,magnitude,data,hora,periodo,subnational,city,depth,felt,continent,latitude,longitude,mmi,cdi,impacto,magnitude_range,media por magnitude,label_periodo,label_continente,label_impacto,magnitude_por_depth,factor_magnitude_depth,magnitude_quadrada
113,0.5853658536585368,2023-10-24,11:32:13,Manhã,Gansu Sheng,Dangchengwan,0.34961457125315504,1.0882221714385209e-05,Asia,0.7417660568707753,0.7654680290828006,0.6666666666666665,0.4444444444444444,Médio,0.5714285714285714,0.3948153806977336,0,1,2,0.32986147385392134,0.31998422643824215,0.48683892779521865
114,0.5365853658536587,2023-10-22,01:54:21,Noite,Gandaki,Gandaki,0.8853264206289652,0.0004733766445757566,Asia,0.6398726589550418,0.7281407526894474,0.33333333333333326,0.4444444444444444,Médio,0.5714285714285714,0.3948153806977336,1,1,2,0.3212262833240785,0.785428149965678,0.4356435643564358
115,0.6585365853658537,2023-10-03,09:21:03,Manhã,Sudurpashchim,Jayaprithivi,0.4519407872296882,0.0007127855222922312,Asia,0.654609318496546,0.7177408641814235,0.6666666666666665,0.8888888888888888,Médio,0.5714285714285714,0.3948153806977336,0,1,2,0.32726517327674803,0.43740963063576227,0.5672542864042502
116,0.46341463414634154,2023-10-02,12:45:15,Tarde,Assam,Matia,0.34961457125315504,0.0003754366491462897,Asia,0.6228080291729358,0.7456239399366631,0.5,0.7777777777777777,Baixo,0.4285714285714285,0.19450780251911814,2,1,1,0.3285829912350897,0.29077392688662024,0.3624728326491188
117,0.5609756097560975,2024-08-08,19:23:31,Noite,Miyazaki,Miyazaki,0.6291697933010438,5.4411108571926045e-06,Asia,0.6758131580382469,0.8663845761525779,0.33333333333333326,0.2222222222222222,Médio,0.5714285714285714,0.3948153806977336,1,1,2,0.3235016093523508,0.5679142385605165,0.4609997585124367
118,0.9999999999999999,2024-08-08,07:42:55,Manhã,Miyazaki,Miyazaki,0.8271369124769766,0.00023396776685928199,Asia,0.6745705011125802,0.8668026710630878,0.8333333333333333,0.8888888888888888,Alto,0.9999999999999999,1.0,0,1,0,0.3236182214778325,1.0,1.0
119,0.6585365853658537,2024-06-02,21:31:39,Noite,Ishikawa,Suzu,0.31550583259431064,0.00015779221485858554,Asia,0.7256025768592248,0.883873397302843,0.6666666666666665,0.7777777777777777,Médio,0.5714285714285714,0.3948153806977336,1,1,2,0.3322479729430631,0.30421066468036634,0.5672542864042502
120,0.7560975609756097,2024-04-22,18:32:48,Noite,Hualien,Shoufeng,0.34961457125315504,0.0004461710902897936,Asia,0.6041064894405451,0.8373166016296805,0.8333333333333333,0.7777777777777777,Alto,0.7142857142857142,0.33974358974358965,1,1,0,0.3316513495202856,0.3608786458105128,0.6812364163245592
121,0.6829268292682927,2024-04-22,14:11:22,Tarde,Hualien,Fengbin,0.28139709393546625,0.00041896553600383055,Asia,0.6028691965016079,0.8373877667208312,0.5,0.5555555555555556,Médio,0.5714285714285714,0.3948153806977336,2,1,2,0.3345918549091046,0.27558457111977686,0.5950253561941561
122,0.5609756097560975,2024-04-03,00:43:55,Noite,Hualien,Chi-an,0.37652636605498324,0.0,Asia,0.6049343313924641,0.8374856187211632,0.5,0.0,Médio,0.5714285714285714,0.3948153806977336,1,1,2,0.3286147261091128,0.33857190845492124,0.4609997585124367
123,0.6341463414634146,2024-03-15,10:32:50,Manhã,Kagoshima,Kikai Cho,0.690701957841599,1.0882221714385209e-05,Asia,0.6448361346754028,0.8628055651101278,0.5,0.5555555555555556,Médio,0.5714285714285714,0.3948153806977336,0,1,2,0.3232133678157465,0.6588237012370562,0.5399661917411253
124,0.7073170731707318,2024-01-09,08:59:10,Manhã,Niigata-ken,Sado,0.34961457125315504,7.617555200069646e-05,Asia,0.7292965757202716,0.8852640817924113,0.33333333333333326,0.4444444444444444,Médio,0.5714285714285714,0.3948153806977336,0,1,2,0.3311399564727529,0.34919452598986406,0.6232794011108429
125,0.5853658536585368,2024-01-02,01:17:31,Noite,Ishikawa,Wajima,0.21317961661777746,5.4411108571926045e-06,Asia,0.7235928698312399,0.8825360866316376,0.6666666666666665,0.2222222222222222,Médio,0.5714285714285714,0.3948153806977336,1,1,2,0.33906653336774306,0.19379573237523556,0.48683892779521865
126,0.6341463414634146,2024-01-01,09:08:17,Manhã,Ishikawa,Suzu,0.34961457125315504,0.0,Asia,0.7262060253662932,0.8843745181530286,0.6666666666666665,0.0,Médio,0.5714285714285714,0.3948153806977336,0,1,2,0.33037286690145395,0.3316683462588909,0.5399661917411253
