,magnitude,data,hora,periodo,depth,felt,continent,latitude,longitude,mmi,cdi,impacto,magnitude_range,media por magnitude,label_periodo,label_continente,label_impacto,magnitude_por_depth,factor_magnitude_depth,magnitude_quadrada
484,0.2195121951219512,2024-08-28,19:57:22,Noite,0.010967357714617983,0.0,North America,0.6632856692309252,0.2096953963405312,0.33333333333333326,0.0,Baixo,0.2857142857142857,0.007044967780753052,1,3,1,0.33079162413451546,0.005981061840370693,0.14996377686549142
485,0.07560975609756093,2024-08-28,12:43:01,Tarde,0.02516596248864796,0.0016214510354433961,North America,0.6818444218614268,0.17534097320855296,0.0,0.3333333333333333,Baixo,0.2857142857142857,0.007044967780753052,2,3,1,0.3213936458357992,0.011722779560965213,0.04723738227481286
486,0.2195121951219512,2024-08-25,05:13:45,Manhã,0.00695580950773189,6.529333028631125e-05,North America,0.7279374470902642,0.17027675322906555,0.33333333333333326,0.3333333333333333,Baixo,0.2857142857142857,0.007044967780753052,0,3,1,0.33979707741776644,0.003777048922147716,0.14996377686549142
487,0.09756097560975607,2024-08-24,14:05:18,Tarde,0.009300464397978594,0.0,North America,0.7279005601285142,0.17027397374499337,0.0,0.0,Baixo,0.2857142857142857,0.007044967780753052,2,3,1,0.3313059234120749,0.0044376608892920475,0.06182081622796423
488,0.07317073170731703,2024-08-24,13:57:04,Tarde,0.008675223093912806,0.0,North America,0.7280176762320706,0.17024895838834386,0.0,0.0,Baixo,0.2857142857142857,0.007044967780753052,2,3,1,0.33197457440367406,0.004021475349991119,0.045641149480801696
489,0.04878048780487809,2024-08-24,13:57:04,Tarde,0.015124587145351408,0.0,North America,0.7280250536244206,0.17026841477684906,0.0,0.0,Baixo,0.2857142857142857,0.007044967780753052,2,3,1,0.3247344135143752,0.006812164543995635,0.029944457860420243
490,0.07317073170731703,2024-08-24,04:14:00,Noite,0.010863567658143064,1.6323332571577813e-05,North America,0.7278738170812453,0.17024617890427174,0.0,0.2222222222222222,Baixo,0.2857142857142857,0.007044967780753052,1,3,1,0.3286478632545283,0.00503881777939339,0.045641149480801696
491,0.31707317073170727,2024-08-23,15:31:58,Tarde,0.0089878437459457,0.00016323332571577812,North America,0.7280379640610332,0.1702239430316944,0.33333333333333326,0.4444444444444444,Baixo,0.4285714285714285,0.014972186327290811,2,3,1,0.3360446643452665,0.00537793192252748,0.2291716976575706
492,0.31707317073170727,2024-08-23,15:31:57,Tarde,0.008206292115863465,4.896999771473344e-05,North America,0.728272196268146,0.17031288652200371,0.33333333333333326,0.4444444444444444,Baixo,0.4285714285714285,0.014972186327290811,2,3,1,0.33804374062458653,0.004904493346074043,0.2291716976575706
493,0.07317073170731703,2024-08-23,14:51:22,Tarde,0.007737361137814125,1.6323332571577813e-05,North America,0.7280019992733269,0.17026285580870476,0.0,0.3333333333333333,Baixo,0.2857142857142857,0.007044967780753052,2,3,1,0.3340070015048675,0.00358547145167586,0.045641149480801696
494,0.0,2024-08-23,13:43:06,Tarde,0.009769395376027935,1.0882221714385209e-05,North America,0.7280600962380832,0.1702322814839109,0.0,0.2222222222222222,Baixo,0.0,0.0,2,3,1,0.3288386792356528,0.0041337793844056555,0.0
495,0.2195121951219512,2024-08-23,03:21:38,Noite,0.009925549391718365,1.6323332571577813e-05,North America,0.6632211170478626,0.2094341248377476,0.6666666666666665,0.3333333333333333,Baixo,0.2857142857142857,0.007044967780753052,1,3,1,0.3324019296552346,0.005408674601438487,0.14996377686549142
496,0.29268292682926844,2024-08-23,03:21:38,Noite,0.008206292115863465,5.4411108571926045e-06,North America,0.6628771461295433,0.20947303761475788,0.33333333333333326,0.1111111111111111,Baixo,0.4285714285714285,0.014972186327290811,1,3,1,0.33753234808844595,0.004794391351549987,0.20864525476937942
497,0.07073170731707312,2024-08-15,18:02:34,Noite,0.014818218906359173,6.529333028631125e-05,North America,0.7131245654254819,0.18606700224304357,0.0,0.3333333333333333,Baixo,0.2857142857142857,0.007044967780753052,1,3,1,0.32516807059558717,0.006856976055766925,0.04404974643805845
498,0.14878048780487796,2024-08-15,16:39:31,Tarde,0.013489581135219373,0.02109518679333573,North America,0.6818647096903894,0.17348427784834575,0.33333333333333326,0.4444444444444444,Baixo,0.2857142857142857,0.007044967780753052,2,3,1,0.3270689483527857,0.006831674617425297,0.09737020043467762
499,0.34146341463414653,2024-08-14,03:06:35,Noite,0.021023738849212114,0.002959964306312777,North America,0.7089056191753182,0.1781093393444308,0.33333333333333326,0.4444444444444444,Baixo,0.4285714285714285,0.014972186327290811,1,3,1,0.3245770810956503,0.012959555265453926,0.250181115672543
500,0.2682926829268292,2024-08-14,03:06:35,Noite,0.031460579317330276,0.0005985221942911865,North America,0.709117719205381,0.1781593700577298,0.33333333333333326,0.4444444444444444,Baixo,0.4285714285714285,0.014972186327290811,1,3,1,0.321328079351774,0.018115785811807766,0.18860178700796906
501,0.3390243902439024,2024-08-12,19:20:24,Noite,0.017553649611646994,0.13182179273720523,North America,0.6856142693522833,0.17127736749504552,0.6666666666666665,0.5555555555555556,Baixo,0.4285714285714285,0.014972186327290811,1,3,1,0.3262770659377663,0.010784424302434498,0.24805843999034047
502,0.1609756097560976,2024-08-11,09:45:13,Manhã,0.008206292115863465,2.7205554285963022e-05,North America,0.7028118930942074,0.17268378643556176,0.33333333333333326,0.5555555555555556,Baixo,0.2857142857142857,0.007044967780753052,0,3,1,0.3347708283932866,0.0041998405811200885,0.10614827336392182
503,0.35121951219512215,2024-08-08,02:09:15,Noite,0.01847588053514403,0.0041352442514663796,North America,0.6949964680734124,0.168814744607106,1.0,0.4444444444444444,Baixo,0.4285714285714285,0.014972186327290811,1,3,1,0.3258662446265186,0.011482162662132343,0.25872011591403055
504,0.19024390243902434,2024-08-07,23:43:32,Noite,0.019523159719454224,0.0018227721371595225,North America,0.6950822302594812,0.1686868883397863,0.33333333333333326,0.5555555555555556,Baixo,0.2857142857142857,0.007044967780753052,1,3,1,0.32395037330843524,0.010358329583626405,0.12770828302342427
505,0.15609756097560978,2024-08-07,10:39:19,Manhã,0.020648594066772646,0.0001142633280010447,North America,0.6950453432977313,0.16868132937164199,0.33333333333333326,0.4444444444444444,Baixo,0.2857142857142857,0.007044967780753052,0,3,1,0.3232354631066866,0.010558098642490852,0.10262255493842068
506,0.12195121951219512,2024-08-07,06:52:28,Manhã,0.019241801132624622,1.6323332571577813e-05,North America,0.6950149115542874,0.168731360084941,0.33333333333333326,0.2222222222222222,Baixo,0.2857142857142857,0.007044967780753052,0,3,1,0.3234745745560181,0.009464917959260412,0.07848345810190774
507,0.10731707317073169,2024-08-07,04:46:55,Noite,0.02047665270815455,0.0007889610742929276,North America,0.6949485150231374,0.16870912421236367,0.33333333333333326,0.5555555555555556,Baixo,0.2857142857142857,0.007044967780753052,1,3,1,0.3228989684720302,0.009904004713422345,0.06842791596232792
